"","target.priority","altitude..hundreds.of.feet."
"917","1",200
"918","1",200
"919","1",200
"920","1",200
"921","1",200
"922","1",197
"923","1",197
"924","1",190
"925","1",190
"926","1",190
"927","1",181
"928","1",181
"929","1",181
"930","1",180
"931","1",180
"932","1",180
"933","1",170
"934","1",170
"935","1",170
"936","1",167
"937","1",167
"938","1",167
"939","1",110
"940","1",110
"946","1",110
"947","1",110
"949","1",139
"950","1",139
"951","1",139
"952","1",139
"958","1",119
"959","1",119
"960","1",115
"961","1",115
"962","1",114
"963","1",114
"964","1",114
"965","1",114
"966","1",106
"967","1",106
"968","1",100
"969","1",100
"970","1",90
"971","1",90
"972","1",85
"973","1",85
"974","1",85
"975","1",85
"976","1",73
"977","1",73
"978","1",73
"979","1",73
"980","1",73
"981","1",73
"982","1",40
"983","1",96
"984","1",100
"985","1",77
"986","1",70
"987","1",70
"988","1",70
"989","1",1
"990","1",1
"991","1",139
"992","1",139
"993","1",139
"994","1",90
"995","1",90
"996","1",40
"999","1",139
"1001","1",110
"1002","1",1
"1003","1",1
"1004","1",1
"1005","1",139
"1007","1",200
"1008","1",190
"1009","1",135
"1010","1",99
"1011","1",110
"1012","1",2
"1013","1",1
"1014","1",105
"1015","1",95
"1016","1",90
"1017","1",30
"1018","1",30
"1019","1",139
"1020","1",139
"1021","1",139
"1022","1",60
"1023","1",100
"1024","2",170
"1025","1",85
"1026","1",27
"1027","1",23
"1028","1",20
"1029","1",20
"1032","1",80
"1033","1",40
"1034","1",70
"1035","1",70
"1036","1",70
"1037","1",70
"1038","3",1
"1039","3",139
"1040","3",139
"1041","1",139
"1042","1",8
"1043","1",40
"1044","1",40
"1046","1",2
"1047","1",139
"1048","1",139
"1049","1",139
"1050","1",139
"1051","1",139
"1052","1",139
"1053","1",4
"1101","1",139
"1102","1",139
"1103","1",139
"1127","1",139
"1128","1",240
"1129","2",240
"1130","2",240
"1131","3",139
"1132","3",139
"1133","2",139
"1134","2",139
"1135","3",139
"1136","3",139
"1137","3",139
"1138","3",139
"1139","2",249
"1140","2",139
"1142","1",1
"1143","1",1
"1144","1",1
"1145","1",1
"1146","1",1
"1147","1",1
"1148","1",1
"1149","1",1
"1150","1",1
"1151","1",1
"1152","1",1
"1153","2",139
"1154","1",49
"1155","1",45
"1156","1",45
"1157","1",20
"1158","1",20
"1159","2",3
"1160","1",65
"1161","1",65
"1162","1",60
"1163","1",1
"1164","1",1
"1165","1",1
"1166","1",1
"1167","1",1
"1168","1",120
"1169","1",100
"1170","1",85
"1171","1",10
"1172","1",104
